Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W301,Madobi,Kauran Mata,20460.010513067245,17,0.2798742305009816,0.23436079783337743,0.17679444102420697,0.3597002683886569,12.732093826688777,0.0,0.0,482,3,Very Low
KANO_W302,Madobi,Kubaraci,43701.88676786423,53,1.0583920990478777,1.0479438833221877,0.1592390844482107,2.2870635392738152,8.931032392119059,0.0,0.0,127,358,High
KANO_W303,Madobi,Kwankwaso,39595.781901836395,41,0.6219268349074375,0.48527532784614075,0.12952030739187154,1.0351296537028898,9.676577440913354,0.0,0.0,398,87,Very Low
KANO_W304,Madobi,Madobi,35583.91522574425,27,1.1121799988997343,1.1564353425819114,0.3165358254819694,1.412214844179222,12.444098102883727,0.0,0.0,110,375,High
KANO_W305,Madobi,Rikadawa,26201.40384197235,36,0.918276006647225,1.0479438833221877,0.2560985685509995,1.7479266648995462,5.945747378673533,0.0,0.0,190,295,High
KANO_W306,Madobi,Yakun,7159.754047870636,10,1.300709035750637,1.2183139573953126,0.6853418309871928,1.6293159543694746,14.118505317500468,0.0,0.0,68,417,Very High
KANO_W307,Makoda,Babbar Ruga,33312.06169772148,35,1.57457236789923,1.2355014713812347,0.2948277372325934,2.1421628998833913,26.319640937034137,0.0,0.0,30,455,Very High
KANO_W308,Makoda,Durma,8543.574949264526,19,0.7049664615491906,0.6818576649565694,0.2652385345014767,1.527382248767644,11.731923571644431,0.0,0.0,342,143,Low
KANO_W309,Makoda,Jibga,36933.28953075409,52,0.9147980228028014,0.783181696743922,0.06768194466075447,1.2938311199781432,17.65251082349227,0.0,0.0,191,294,High
KANO_W310,Makoda,Kadan Dani,30821.54685640335,61,0.7964044285569072,0.7871547594934032,0.20154825678442437,1.241526652526626,9.051482543026152,0.0,0.0,267,218,Moderate
KANO_W311,Makoda,Koguna,27478.046658992767,29,0.7262964462383283,0.8157106879143766,0.1227292963741767,1.2017921004857155,10.57845392155686,0.0,0.0,326,159,Low
KANO_W312,Makoda,Maitsidau,17253.511739253998,19,1.1290888838798738,1.1476147677928854,0.6936244748217448,1.527382248767644,21.26239179630542,0.0,0.0,107,378,High
KANO_W313,Makoda,Makoda,31443.963173151016,27,1.0475333066098997,0.9443514288298022,0.2098692643323953,1.2905776870976766,13.700334338531187,0.0,0.0,133,352,High
KANO_W314,Makoda,Satame,21305.74791574478,31,0.6785759414094862,0.6150209415892367,0.11791016701959722,1.2406018390171998,14.007109028329848,0.0,0.0,367,118,Low
KANO_W315,Makoda,Tabo,24722.613593816757,34,0.6042360925406338,0.5956283983883187,0.4811667223881613,1.3512264364939945,7.7632260413535095,0.0,0.0,404,81,Very Low
KANO_W316,Makoda,Tangaji,15944.268112421036,33,1.3143318234323618,1.1243364549014874,0.3522430199287354,2.0451398172132493,10.826858491190253,0.0,0.0,64,421,Very High
KANO_W317,Makoda,Wailare,14910.067511081696,18,1.0153948626778382,0.8957738560967196,0.4828393421280195,1.8141080528831757,24.764885575630146,0.0,0.0,152,333,High
KANO_W318,Minjibir,Azore,37096.74218964577,36,0.35354552966825303,0.3053592786874145,0.06529878194323628,0.7590797221651935,12.763270451251218,0.0,0.0,475,10,Very Low
KANO_W319,Minjibir,Gandurwawa,33819.99021434784,27,0.4929946995107536,0.4391489003263367,0.28859018455824237,0.9224550629684212,13.239852841294637,0.0,0.0,447,38,Very Low
KANO_W320,Minjibir,Kantama,33393.21419835091,30,0.5992928238959763,0.6232117466811432,0.25785346071235676,0.8497138133427087,16.87734388187633,0.0,0.0,407,78,Very Low
KANO_W321,Minjibir,Kunya,88834.94932198524,46,1.2346243789662568,1.0476417317247164,0.3214536784695889,2.0509735193696526,29.98409509279928,0.0,0.0,85,400,Very High
KANO_W322,Minjibir,Kuru,41203.961461782455,35,0.6756486112135965,0.6208448319659913,0.2467487569674486,1.7050836905535418,19.187005766119007,0.0,0.0,369,116,Low
KANO_W323,Minjibir,Kwarkiya,37251.23609852791,38,0.6901651569880473,0.6450851387010383,0.3295601190288395,0.8933426288732789,16.10084782834707,0.0,0.0,357,128,Low
KANO_W324,Minjibir,Minjibir,62926.31156206131,26,0.9071800737885677,0.6984315832751222,0.35620947845479417,1.1739563726171305,19.461765839272317,0.0,0.0,197,288,Moderate
KANO_W325,Minjibir,Sarbi,18778.786769390106,34,0.6884958836512937,0.5231867790797309,0.16422505814129268,1.6385425280878447,9.001827964004283,0.0,0.0,358,127,Low
KANO_W326,Minjibir,Tsakiya,23939.673117160797,25,0.4114695997245396,0.3887459249146685,0.2467487569674486,0.7590797221651935,18.03721360365114,0.0,0.0,466,19,Very Low
KANO_W327,Minjibir,Tsakuwa,47722.11996507645,37,0.5961536722943187,0.5795169842622179,0.42172934462478184,0.7886075817741931,14.381024619628027,0.0,0.0,410,75,Very Low
KANO_W328,Minjibir,Wasai,52015.27007436752,47,0.5695947502278185,0.5229220691198291,0.2554291909916717,0.8535149936781412,12.721068246947578,0.0,0.0,419,66,Very Low
KANO_W329,Nassarawa,Dakata,54803.56644368172,8,0.6484050702727746,0.728910445892868,0.4255432545165878,0.8095314975138079,217.33323807706037,0.0,0.0,382,103,Low
KANO_W330,Nassarawa,Gama,51902.1364736557,7,0.6983014131940924,0.7468479674671613,0.6273480505312804,0.8235721208475844,240.5713948015154,0.0,0.0,349,136,Low
KANO_W331,Nassarawa,Gawuna,16862.368128299713,4,0.7969345380938421,0.7798892864976854,0.6799535910448558,0.8235721208475844,269.5595498632996,0.0,0.0,266,219,Moderate
KANO_W332,Nassarawa,Giginyu,201996.51729106903,21,0.736482659908654,0.7924877749754933,0.6521122212278134,0.9148781089385281,252.43330772001656,0.0,0.0,321,164,Low
KANO_W333,Nassarawa,Gwagwarwa,15968.326427459717,4,0.782455850607992,0.8165718326692135,0.7468479674671613,0.8420062727958075,267.5048476232278,0.0,0.0,282,203,Moderate
KANO_W334,Nassarawa,Hotoro North,175799.07468128204,17,0.6667888596599337,0.6805263024909975,0.46542587087122617,0.764541285993087,216.90389065577594,0.0,0.0,376,109,Low
KANO_W335,Nassarawa,Hotoro South,54607.61873149872,7,0.7526291437701966,0.7536716658448483,0.6747225585956003,0.8272597247145312,237.38369143989993,0.0,0.0,308,177,Low
KANO_W336,Nassarawa,Kaura Goje,101803.73725438118,8,0.6388241920785978,0.6803990659248114,0.49669100642457065,0.8095715444908428,217.85277605657953,0.0,0.0,385,100,Low
