Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class,Travel_Severity,Supply_Severity,Coverage_Severity,Population_Exposure,Planning_Priority_Score,Planning_Priority_Score_100,Planning_Priority_Class,Planning_Priority_Rank
KANO_W024,Bagwai,Gogori,34379.87130236626,3.262358702103477,70.36822137307533,100.0,7.707065328477912,34379.87130236626,0.9074675402921693,9.08417076509124,0.0,0.0,34379.87130236626,False,False,False,0,Relatively Better Served,0.31273392120250376,0.7414606356740047,0.4681557927932791,0.08873512049112668,0.46027282547897763,46.02728254789776,High,135
KANO_W025,Bagwai,Kiyawa,34375.45455479622,1.8262144125833444,99.02579601190634,100.0,3.830865441529393,34375.45455479622,2.0722743444759795,23.90078819414573,0.0,0.0,34375.45455479622,False,False,False,0,Relatively Better Served,0.162006924365104,0.30320330713918997,0.01539155803404757,0.08872293657065818,0.17110998690065593,17.110998690065593,Very Low,477
KANO_W026,Bagwai,Kwajale,36255.36284780502,1.9838534443338909,92.56024398745863,100.0,4.987008015861403,36255.36284780502,1.83717998036752,18.152962654072304,0.0,0.0,36255.36284780502,False,False,False,0,Relatively Better Served,0.1785515417921277,0.39165731307192464,0.11754153937540224,0.09390880077659455,0.22824015010438156,22.824015010438156,Very Low,467
KANO_W027,Bagwai,Rimin Dako,39724.70056796074,1.6617782112895425,95.99232969008452,100.0,4.8952540295529126,39724.70056796074,2.0119281643151816,25.872432138254386,0.0,0.0,39724.70056796074,False,False,False,0,Relatively Better Served,0.14474892670203737,0.3259084936212381,0.06331763255978706,0.10347922204031744,0.18567806059604955,18.567806059604955,Very Low,475
KANO_W028,Bagwai,Romo,31253.1290242672,3.596825901801437,74.1961696831328,100.0,6.176250930459941,31253.1290242672,1.680391760268522,14.24558132967551,0.0,0.0,31253.1290242672,False,False,False,0,Relatively Better Served,0.3478371047189269,0.4506487151134534,0.40767760825938515,0.08010977375401011,0.35563016942036535,35.56301694203653,Low,295
KANO_W029,Bagwai,Sare-Sare,29383.2672791481,2.697008300293876,86.66741779501295,100.0,6.027268871646273,29383.2672791481,0.9225210180725014,10.23584058824034,0.0,0.0,29383.2672791481,False,False,False,0,Relatively Better Served,0.25339895824132985,0.735796780575056,0.21064296108387448,0.07495162368353885,0.3869198964429743,38.69198964429743,Moderate,248
KANO_W030,Bagwai,Wuro Bagga,33477.731825351715,1.6830662375722731,100.0,100.0,3.2528814195846527,33477.731825351715,0.9574496988588244,10.33862406195486,0.0,0.0,33477.731825351715,False,False,False,0,Relatively Better Served,0.14698315921864877,0.7226549013589696,0.0,0.0862465029133383,0.3099611386782347,30.99611386782347,Low,372
KANO_W031,Bebeji,Anadariya,8706.878468036652,2.531069401943014,61.8540845625618,100.0,5.254562427309917,8706.878468036652,0.7549195935777219,6.367084596559771,0.0,0.0,8706.878468036652,False,False,True,1,Single-Dimension Underserved,0.23598324869915763,0.7988566393377976,0.6026715948536593,0.017914296361602217,0.4736162618029486,47.361626180294856,High,121
KANO_W032,Bebeji,Baguda,15720.371176481249,3.6120037840980816,76.01955605072848,100.0,6.108048591063225,15720.371176481249,1.1047051903327771,7.980320652361434,0.0,0.0,15720.371176481249,False,False,False,0,Relatively Better Served,0.3494300620795618,0.6672501783837492,0.3788697226026473,0.037261527782719364,0.41972975474611807,41.97297547461181,High,189
KANO_W033,Bebeji,Bebeji,58952.98099374771,1.8073715924843368,85.86085030800653,94.7220367446949,11.162549009385865,58952.98099374771,0.8443131884720595,8.420806464749074,0.0,0.0,58952.98099374771,False,False,False,0,Relatively Better Served,0.16002932245825116,0.7652223937738152,0.22338601124211477,0.1565218367107389,0.38399211231334446,38.39921123133445,Moderate,257
