Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class
KANO_W172,Gaya,Maimakawa,49401.224858284,3.518949474615149,68.22802332558894,96.6911900090452,9.674423058949015,49401.224858284,0.9751188758231382,3.8963948698173976,0.0,0.0,49401.224858284,False,False,True,1,Single-Dimension Underserved
KANO_W173,Gaya,Shagogo,51781.8307390213,3.954760335844971,59.5505834093808,100.0,7.840207017260374,51781.8307390213,0.6648379062764658,14.46667398736786,0.0,0.0,51781.8307390213,False,True,True,2,Compound Underserved
KANO_W174,Gaya,Wudilawa,20884.108263015747,1.4854199688451837,100.0,100.0,4.296168936605124,20884.108263015747,0.8681115941478701,19.85852254995613,0.0,0.0,20884.108263015747,False,False,False,0,Relatively Better Served
KANO_W175,Gezawa,Babawa,86329.19391274452,2.6432798166309124,93.93530738108178,100.0,5.557382974592726,86329.19391274452,0.3988317334192023,91.54353897045642,0.0,0.0,86329.19391274452,True,False,False,1,Single-Dimension Underserved
KANO_W176,Gezawa,Gawo,22370.71760725975,2.527388446720652,89.64442886675687,100.0,4.962768599644159,22370.71760725975,0.5996478466476541,13.603029811386374,0.0,0.0,22370.71760725975,True,False,False,1,Single-Dimension Underserved
KANO_W177,Gezawa,Gezawa,42951.56576991081,1.880616742612344,94.43996717647823,100.0,5.604895173961562,42951.56576991081,0.8105799465791089,20.36523647665288,0.0,0.0,42951.56576991081,False,False,False,0,Relatively Better Served
KANO_W178,Gezawa,Jogana,81403.46664071083,1.617610601358724,94.87818736642922,100.0,5.011090147251909,81403.46664071083,0.6588186085711144,33.03043357141029,0.0,0.0,81403.46664071083,False,False,False,0,Relatively Better Served
KANO_W179,Gezawa,Ketawa,63508.14157438278,2.862823810707696,88.43104686874081,100.0,4.855818088512328,63508.14157438278,0.64226185900551,20.562685868912904,0.0,0.0,63508.14157438278,False,False,False,0,Relatively Better Served
KANO_W180,Gezawa,Mesar Tudu,38385.3818693161,2.507720906429297,95.50328671895105,100.0,5.063938798688259,38385.3818693161,0.5188099754736206,13.755931314534198,0.0,0.0,38385.3818693161,True,False,False,1,Single-Dimension Underserved
KANO_W181,Gezawa,Sararin Gezawa,26853.15255689621,2.063209794331435,87.8663115804806,100.0,5.0382052650409,26853.15255689621,0.7450234318346265,19.890002388469668,0.0,0.0,26853.15255689621,False,False,False,0,Relatively Better Served
KANO_W182,Gezawa,Tsamiya Babba,128425.96181225777,2.2435958272340777,99.44432152931502,100.0,4.626724438100967,128425.96181225777,0.4537222196620483,103.34971313890684,0.0,0.0,128425.96181225777,True,False,False,1,Single-Dimension Underserved
KANO_W183,Gezawa,Tumbau,24141.225328445435,4.255527489184283,53.84987648543576,100.0,7.610952033224465,24141.225328445435,0.5193728364337887,6.614949725541189,0.0,0.0,24141.225328445435,True,True,True,3,Critical Underserved
KANO_W184,Gezawa,Wangara,38648.41859912872,4.144593754402287,59.51256321597533,88.92979845331894,11.836448262698111,38648.41859912872,0.6222729835286409,15.520375627268542,0.0,0.0,38648.41859912872,True,True,True,3,Critical Underserved
KANO_W185,Gezawa,Zango,66622.09300208092,2.632793752468525,85.47665090016916,100.0,7.643930371166212,66622.09300208092,0.403225501544537,16.000332200354396,0.0,0.0,66622.09300208092,True,False,False,1,Single-Dimension Underserved
KANO_W186,Gwale,Dandago,11300.713973999023,0.9999963564759756,100.0,100.0,1.0710432771854028,11300.713973999023,0.793434304548492,280.1973439594084,0.0,0.0,11300.713973999023,False,False,False,0,Relatively Better Served
KANO_W187,Gwale,Diso,11166.22183227539,0.4989470824429477,100.0,100.0,1.1779910528503017,11166.22183227539,0.8500720144999264,292.8547757982769,0.0,0.0,11166.22183227539,False,False,False,0,Relatively Better Served
KANO_W188,Gwale,Dorayi,364719.1042802334,1.5154328235818328,100.0,100.0,2.711711999650932,364719.1042802334,0.6364269313295727,205.19697018537957,0.0,0.0,364719.1042802334,True,False,False,1,Single-Dimension Underserved
KANO_W189,Gwale,Galadanchi,22005.976974487305,1.0685168357287735,100.0,100.0,1.1350206974918993,22005.9769744873,0.8003360692349254,281.82058109258617,0.0,3.637978807091713e-12,22005.976974487305,False,False,False,0,Relatively Better Served
KANO_W190,Gwale,Goron Dutse,16381.674552679062,0.6475102994927919,100.0,100.0,1.224085208837795,16381.674552679062,0.7642598907639895,259.8581059097941,0.0,0.0,16381.674552679062,False,False,False,0,Relatively Better Served
KANO_W191,Gwale,Gwale,14429.323318004608,1.2409805585859273,100.0,100.0,1.397964866532167,14429.323318004608,0.7836509021222196,278.0229387934162,0.0,0.0,14429.323318004608,False,False,False,0,Relatively Better Served
KANO_W192,Gwale,Gyaranya,13923.644790649414,0.7062526425305141,100.0,100.0,0.7014355931241927,13923.644790649414,0.8012162424363175,282.1860578452503,0.0,0.0,13923.644790649414,False,False,False,0,Relatively Better Served
KANO_W193,Gwale,Kabuga,122864.51647615431,1.51946019373357,100.0,100.0,2.955605698183456,122864.51647615431,0.6282724298351448,215.12938418313863,0.0,0.0,122864.51647615431,True,False,False,1,Single-Dimension Underserved
KANO_W194,Gwale,Mandawari,18334.27052307129,0.7795956298155944,100.0,100.0,1.171618481969124,18334.27052307129,0.8016492154765067,282.50028939213894,0.0,0.0,18334.27052307129,False,False,False,0,Relatively Better Served
KANO_W195,Gwale,Sani Mai Nagge,42695.18185162544,0.9610770642811528,100.0,100.0,1.6536726998575788,42695.18185162544,0.8070929882247989,277.73537394742823,0.0,0.0,42695.18185162544,False,False,False,0,Relatively Better Served
KANO_W196,Gwarzo,Getso,46848.29147553444,3.595490872587587,85.53637223725403,100.0,6.503656463717416,46848.29147553444,1.4930073001010002,24.667612444329933,0.0,0.0,46848.29147553444,False,False,False,0,Relatively Better Served
KANO_W197,Gwarzo,Gwarzo,34334.948858737946,0.8924700753926315,100.0,100.0,1.9488342171667128,34334.948858737946,1.0073446983926289,21.02091649037725,0.0,0.0,34334.948858737946,False,False,False,0,Relatively Better Served
KANO_W198,Gwarzo,Jama'A,11535.081839323044,1.7309562334103803,98.14808213638388,99.9728214111232,6.125891079142391,11535.081839323044,1.347854742538772,8.311784146723637,0.0,0.0,11535.081839323044,False,False,False,0,Relatively Better Served
KANO_W199,Gwarzo,Kara,35663.72525191307,2.804168728575235,78.89700754973474,100.0,7.172079865224449,35663.72525191307,1.1492307120251264,14.717100964772444,0.0,0.0,35663.72525191307,False,False,False,0,Relatively Better Served
KANO_W200,Gwarzo,Kutama,51635.00675821304,1.7529626308329926,94.279521237954,100.0,5.460295900357389,51635.00675821304,1.022326637305275,17.37341596440562,0.0,0.0,51635.00675821304,False,False,False,0,Relatively Better Served
KANO_W201,Gwarzo,Lakwaya,70697.78695869446,4.276738495867207,59.88136166413075,99.7458637514905,8.734289743917895,70697.78695869446,0.8161472512287847,12.191591106870188,0.0,0.0,70697.78695869446,False,True,True,2,Compound Underserved
