Ward_ID,LGA,Ward,Demand_Population,Routing_Cells,Weighted_Mean_Time_Min,Median_Cell_Time_Min,P90_Cell_Time_Min,Max_Time_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Pop_Within_30min,Pct_Within_30min,Ward_Raster_Population,Population_Difference,Population_Difference_Pct,Poor_Access_Rank
KANO_W055,Bichi,Yallami,46898.301015377045,85,3.073977257337,3.6536370833248113,7.037277030715057,12.583732314850103,37029.20090222359,78.95638029634043,46289.9365735054,98.70280067998162,46898.301015377045,100.0,46898.301015377045,100.0,46898.301015377045,0.0,0.0,166
KANO_W056,Bunkure,Barkum,44461.25253152847,40,3.401439416342347,4.1945790078371665,11.94589105524319,14.771399509741679,31826.975725889206,71.58362374816136,43242.82494568825,97.25957431141596,44461.25253152847,100.0,44461.25253152847,100.0,44461.25253152847,0.0,0.0,130
KANO_W057,Bunkure,Bono,24751.14481639862,46,3.712077159098436,3.347348110935057,7.509812396900987,14.918136247386288,17450.32812643051,70.50311513214925,24646.43918609619,99.57696651577483,24751.14481639862,100.0,24751.14481639862,100.0,24751.14481639862,0.0,0.0,101
KANO_W058,Bunkure,Bunkure,45696.68604969978,34,2.0788967482738574,2.9356478878967955,4.918214661916668,8.359595447025333,44634.39558887482,97.67534464168885,45696.68604969978,100.0,45696.68604969978,100.0,45696.68604969978,100.0,45696.68604969978,0.0,0.0,290
KANO_W059,Bunkure,Chirin,29887.835190296173,59,2.9009424929120593,4.528197684093053,7.537701920947489,10.287006050625333,23192.4147670269,77.59817537590308,29880.87579679489,99.97671496293736,29887.835190296173,100.0,29887.835190296173,100.0,29887.835190296173,0.0,0.0,180
KANO_W060,Bunkure,Gafan,25388.39962720871,68,2.871649231758052,2.1314852131568895,10.930589807377432,12.736376847893464,20144.224908828735,79.34420918457657,21737.94229388237,85.62155398950728,25388.39962720871,100.0,25388.39962720871,100.0,25388.39962720871,0.0,0.0,182
KANO_W061,Bunkure,Gurjiya,25989.094090223312,31,2.943659702620734,4.117931077498068,11.206781899077438,13.437916338736816,24109.426425933838,92.76747524263811,24688.317071914673,94.99491204351762,25989.094090223312,100.0,25989.094090223312,100.0,25989.094090223312,0.0,0.0,173
KANO_W062,Bunkure,Gwamma,25466.694618225098,41,3.1535230378315138,4.303239298836192,6.4361417414593785,9.187686651565434,17172.53639650345,67.43135162980288,25466.694618225098,100.0,25466.694618225098,100.0,25466.694618225098,100.0,25466.694618225098,0.0,0.0,160
KANO_W063,Bunkure,Kulluwa,21825.624680042267,46,7.720812954574262,5.1765387637124025,23.37121874268331,23.37121874268331,11737.326048135757,53.777732459903305,16235.980911970139,74.38953592387485,16601.401015996933,76.06380692130908,21825.624680042267,100.0,21825.624680042267,0.0,0.0,2
KANO_W064,Bunkure,Kumurya,41578.92378759384,38,2.774592650746003,4.184985295177148,7.346423518037218,8.216985773278816,34614.34593653679,83.24973997250233,41578.92378759384,100.0,41578.92378759384,100.0,41578.92378759384,100.0,41578.92378759384,0.0,0.0,194
