Demand_ID,Grid_Row,Grid_Col,Demand_Cell_Population,Nearest_Node,Snap_Distance_m,Snap_Quality,Demand_Node,Accessible_PHC_Nodes,Accessible_PHC_Count,TwoSFCA_per_Person,Mean_PHC_Travel_Time_Min,Min_PHC_Travel_Time_Min,Max_PHC_Travel_Time_Min,TwoSFCA_per_10000,TwoSFCA_Class,Travel_Time_Min,Ward_ID,LGA,Ward,Planning_Priority_Rank,Planning_Priority_Score_100,Facility_ID,facility_name,Nearest_Existing_PHC_m,Population_Score,Supply_Deficit_Score,Travel_Deficit_Score,PHC_Separation_Score,Ward_Priority_Score,Candidate_Score,Candidate_Score_100,Candidate_Rank,Scenario_Shortlist
KANO_DMD_11336,112,94,686.9251391887665,2691206616,324.2786234360953,Good,2691206616.0,1.0,1.0,2.039940371636129e-05,12.179248725780884,12.179248725780884,12.179248725780884,0.20399403716361292,Very Low,12.179248725780885,KANO_W349,Rano,Zurgu,33,58.80386209233637,KANO_PHC_0502,Chirin Health Post,4801.618281017061,0.03558412829446187,0.9108052602559591,0.3574041446989272,0.2576501128738154,0.3375972170452725,0.38226462112771337,38.22646211277134,44,Reserve
KANO_DMD_14341,134,97,155.28998279571533,5183218113,751.2742086999772,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,15.240493459998131,KANO_W347,Rano,Yalwa,65,52.71966945564668,KANO_PHC_0516,Kazaurawa Health Post,2849.2829160518286,0.007950282499489697,1.0,0.4472373996542208,0.1521540322265741,0.12636766136718536,0.37729243565139575,37.729243565139576,45,Reserve
KANO_DMD_10517,107,49,1080.0829372406006,7202205704,2647.7630670520075,Very Poor,7202205704.0,1.0,1.0,5.01692982355463e-06,12.21398530721032,12.21398530721032,12.21398530721032,0.0501692982355463,Very Low,12.213985307210319,KANO_W258,Kiru,Kogo,82,50.75372979876678,KANO_PHC_0776,Maraku Health Post,4710.370308451913,0.05602006416854245,0.9780638808786765,0.35842350134851025,0.25271945206349833,0.05811463503983156,0.37672607105344175,37.67260710534418,46,Reserve
KANO_DMD_05159,65,122,2064.50834107399,8409141709,150.47681429812272,Excellent,8409141709.0,5.0,5.0,1.844644893289889e-05,13.033598489994082,9.210681473141848,14.518268525435593,0.1844644893289889,Very Low,9.210681473141848,KANO_W183,Gezawa,Tumbau,31,59.06090092175664,KANO_PHC_0087,Tumbau Health Post,3210.0358549312414,0.10718947890542808,0.9193443967946952,0.270290541569628,0.17164762017089205,0.3465210301084961,0.3764502972207112,37.64502972207112,47,Reserve
KANO_DMD_13583,127,136,545.6501610279083,5190065708,1112.6667210511953,Poor,,0.0,0.0,0.0,,,,0.0,Very Low,15.587380551433537,KANO_W390,Sumaila,Rumo,92,49.47528230809395,KANO_PHC_0683,Gala Primary Health Center,2878.440133944346,0.02824080098768212,1.0,0.4574169178669602,0.15372956697610365,0.013729798540059904,0.37438803877011817,37.438803877011814,48,Reserve
KANO_DMD_01923,35,118,795.6113028526306,2923197472,1930.0602431725056,Poor,2923197472.0,1.0,1.0,1.061858440659543e-05,14.896105142071018,14.896105142071018,14.896105142071018,0.1061858440659543,Very Low,14.896105142071018,KANO_W140,Gabasawa,Yautar Arewa,71,52.00904516544578,KANO_PHC_0615,Shana Health Post,3200.889123109241,0.041233522715838,0.9535711001279527,0.43713120878938566,0.17115336883719784,0.10169637594995326,0.37403171652519174,37.40317165251918,49,Reserve
KANO_DMD_10650,108,28,492.89447236061096,2870007588,1819.07500385988,Poor,2870007588.0,1.0,1.0,2.1718426774898944e-05,13.70634611857275,13.70634611857275,13.70634611857275,0.21718426774898944,Very Low,13.70634611857275,KANO_W371,Rogo,Zoza,59,53.37535956719318,KANO_PHC_0189,Kaleku Health Clinic,5282.122686991981,0.025498614832555392,0.9050379388156616,0.4022173306212587,0.2836145718872327,0.1491317550103213,0.37180789656205077,37.18078965620508,50,Reserve
KANO_DMD_08018,86,98,643.6768419742584,12374672512,135.97425502477648,Excellent,12374672512.0,4.0,4.0,1.490859897629211e-05,8.367063369011582,6.54818181464622,12.4105530635603,0.14908598976292112,Very Low,6.54818181464622,KANO_W099,Dawakin Kudu,Yan Barau,11,67.19400430516644,KANO_PHC_0032,Dawaki Primary Health Center,2739.884886199049,0.033336126517774886,0.9348133590506809,0.192158594794331,0.14624261783174053,0.6288841827151024,0.36696070762314026,36.69607076231402,51,Reserve
KANO_DMD_15180,143,136,20.990771293640137,4087943713,2535.906216300432,Very Poor,4087943713.0,1.0,1.0,1.3557432330399603e-05,14.545613982967067,14.545613982967067,14.545613982967067,0.13557432330399602,Very Low,14.545613982967067,KANO_W385,Sumaila,Gediya,76,51.75848253762059,KANO_PHC_0670,Beta Health Post,4535.269313560726,0.0009695483316934015,0.9407212257220263,0.4268459280003564,0.2432577227879126,0.09299740211636916,0.3666287551599097,36.662875515990976,52,Reserve
KANO_DMD_04289,58,126,1913.16610455513,2760409305,197.10753495695428,Excellent,2760409305.0,2.0,2.0,1.288392595203522e-05,11.879098356949022,10.1706593266323,13.587537387265744,0.1288392595203522,Very Low,10.1706593266323,KANO_W144,Gabasawa,Zugachi,55,53.780495210140074,KANO_PHC_0164,Karmami Maternity and  Child Health Clinic,3070.234262312014,0.09932286591729755,0.9436660777858139,0.2984614141235645,0.16409332373482177,0.16319715808993018,0.3663393764155719,36.63393764155719,53,Reserve
